"Embed Plus for YouTube Gallery, Livestream and Lazy Loading with Facades",https://ru.wordpress.org/plugins/youtube-embed-plus/,"A multi-featured plugin to embed YouTube in WordPress. Embed a responsive video, YouTube channel gallery, playlist gallery, YouTube livestream.",100 000+ активных установок,6.8.1
GiveWP — Платформа для пожертвований и фандрайзинга,https://ru.wordpress.org/plugins/give/,"Принимайте пожертвования и начинайте сбор средств с помощью GiveWP, плагина для пожертвований WordPress с самым высоким рейтингом для онлайн пожертвований.",100 000+ активных установок,6.7.2
"Feeds for YouTube (плагин для видео, канала и галереи YouTube)",https://ru.wordpress.org/plugins/feeds-for-youtube/,Плагин Feeds for YouTube позволяет отображать настраиваемые ленты YouTube с любого канала YouTube.,100 000+ активных установок,6.8.1
Schema & Structured Data for WP & AMP,https://ru.wordpress.org/plugins/schema-and-structured-data-for-wp/,Schema & Structured Data adds Google Rich Snippets markup according to Schema.org guidelines to structure your site for SEO.,100 000+ активных установок,6.8.1
LuckyWP Table of Contents,https://ru.wordpress.org/plugins/luckywp-table-of-contents/,"Создаёт SEO-дружественное содержание для ваших постов/страниц. Работает автоматически или вручную (через шорткод, Gutenberg-блок или виджет).",100 000+ активных установок,6.7.2
Pods — Custom Content Types and Fields,https://ru.wordpress.org/plugins/pods/,"Pods — это платформа для создания, управления и развертывания настраиваемых типов контента и полей для любого проекта.",100 000+ активных установок,6.8.1
"EmbedPress – PDF Embed, PDF 3D FlipBook, Instagram Social Feeds, Google Docs, Vimeo, Wistia, YouTube Videos, Maps & Upload PDF Documents",https://ru.wordpress.org/plugins/embedpress/,"EmbedPress lets you embed videos, pages, social feeds, embed PDF 3D flipbooks & other content on WordPress without coding & enhance storytelling.",100 000+ активных установок,6.8.1
Social Значки & Sharing Buttons by WPZOOM,https://ru.wordpress.org/plugins/social-icons-widget-by-wpzoom/,Add social media icons and sharing buttons to your website! Social Значки & Sharing Buttons includes 400+ icons and customizable sharing buttons.,100 000+ активных установок,6.8.1
"Hustle — Email Marketing, Lead Generation, Optins, Popups",https://ru.wordpress.org/plugins/wordpress-popup/,"Setup email optin forms, popups, newsletter forms & subscription forms to generate email leads with the best marketing popup builder",100 000+ активных установок,6.8.1
Web Stories,https://ru.wordpress.org/plugins/web-stories/,"Web Stories — это визуальные истории для вашего сайта с быстрой загрузкой и полноэкранным режимом, погружающие ваших читателей в насышенный контент ваших историй.",90 000+ активных установок,6.8.1
Event Tickets and Registration,https://ru.wordpress.org/plugins/event-tickets/,Event Tickets позволяет вашим посетителям регистрироваться и покупать билеты на мероприятия на вашем сайте. Также работает с Events Calendar (календарь мероприятий).,90 000+ активных установок,6.8.1
Site Reviews,https://ru.wordpress.org/plugins/site-reviews/,"Site Reviews is a complete review management solution for your website that is designed to work in a similar way to Amazon, Tripadvisor, and Yelp.",70 000+ активных установок,6.8.1
"Superb Addons: Blocks, Patterns & Theme Designer",https://ru.wordpress.org/plugins/superb-blocks/,"Create beautiful WordPress websites easily with 10+ blocks, 200+ patterns, 100+ pre-built pages, animations and Theme Designer. No coding needed!",60 000+ активных установок,6.8.1
Qi Blocks,https://ru.wordpress.org/plugins/qi-blocks/,Qi Blocks is the largest collection of Gutenberg blocks developed by Qode Interactive.,60 000+ активных установок,6.8.1
"User Profile Builder — Beautiful User Registration Forms, User Profiles & User Role Editor",https://ru.wordpress.org/plugins/profile-builder/,"Powerful user profile plugin to create front-end user registration forms, login & user profile forms. Includes user role editor & content restriction.",50 000+ активных установок,6.7.2
Getwid —  Блоки Gutenberg,https://ru.wordpress.org/plugins/getwid/,"40+ блоков для редактора Gutenberg, а также несколько готовых бесплатных шаблонов-блоков для редактора блоков WordPress.",50 000+ активных установок,6.8.1
WP Booking Calendar,https://ru.wordpress.org/plugins/booking/,"Original ""Booking Calendar"" plugin. Easily manage full-day bookings, time-slot appointments, or events in our all-in-one, outstanding booking system.",50 000+ активных установок,6.8.1
User Profile Picture,https://ru.wordpress.org/plugins/metronet-profile-picture/,Установите пользовательское изображение профиля (аватар) для пользователя с помощью стандартного инструмента загрузки мультимедиа WordPress.,50 000+ активных установок,6.6.2
Ultimate Blocks — Плагин блоков WordPress,https://ru.wordpress.org/plugins/ultimate-blocks/,Create Better Content With The Block Editor. Custom Blocks for Bloggers and Content Marketers.,50 000+ активных установок,6.8.1
WP Recipe Maker,https://ru.wordpress.org/plugins/wp-recipe-maker/,Простой и удобный плагин рецептов для всех. Автоматические метаданные JSON-LD метаданные для еды и рецептов улучшат ваше SEO!,50 000+ активных установок,6.8.1
Calculated Fields Form,https://ru.wordpress.org/plugins/calculated-fields-form/,The CFF plugin allows you to create both simple and professional forms. Its form builder includes dynamic calculated fields and many other controls.,50 000+ активных установок,6.8.1
"RSS Aggregator by Feedzy – Feed to Post, Autoblogging, News & YouTube Video Feeds Aggregator",https://ru.wordpress.org/plugins/feedzy-rss-feeds/,"The most powerful WordPress RSS aggregator, helping you curate content, autoblog, import RSS & display unlimited RSS feeds within a few minutes.",50 000+ активных установок,6.8.1
"Photo Gallery, Images, Slider in Rbs Image Gallery",https://ru.wordpress.org/plugins/robo-gallery/,Rbs Image Gallery is a powerful image gallery and photo gallery plugin with advanced features to create responsive galleries with a beautiful lightbox,40 000+ активных установок,6.8.1
"Kit (formerly ConvertKit) — Email Newsletter, Email Marketing, Subscribers and Landing Pages",https://ru.wordpress.org/plugins/convertkit/,"Build your email subscriber lists, send email marketing newsletters, sell more products and build your membership site with Kit (formerly ConvertKit).",40 000+ активных установок,6.8.1
Form Maker by 10Web — Удобный для мобильных устройств конструктор контактных форм с перетаскиванием,https://ru.wordpress.org/plugins/form-maker/,"Form Maker — это удобный конструктор контактных форм, который позволяет создавать формы для любых целей, от простой формы контакта до многостраничных форм опроса.",40 000+ активных установок,6.5.5
Genesis Blocks,https://ru.wordpress.org/plugins/genesis-blocks/,"A collection of content blocks, sections, & full-page layouts for the block editor.",40 000+ активных установок,6.6.2
"Post Grid Gutenberg Blocks for News, Magazines, Blog Websites — PostX",https://ru.wordpress.org/plugins/ultimate-post/,"A highly customizable plugin to create news, magazines, and any kind of blog site with post grid, post filter, post slider, and post blocks.",40 000+ активных установок,6.7.2
"Gallery Blocks with Lightbox. Image Gallery, (HTML5 video , YouTube, Vimeo) Video Gallery and Lightbox for native gallery",https://ru.wordpress.org/plugins/simply-gallery-block/,"Два в одном. Блоки галереи Gutenberg (Masonry, Justified, Slider, Carousel, Grid) и настраиваемый лайтбокс.",40 000+ активных установок,6.8.1
Слайдер от Soliloquy — адаптивный слайдер изображений для WordPress,https://ru.wordpress.org/plugins/soliloquy-lite/,"Лучший плагин WordPress для слайдеров. Конструктор адаптивных слайдеров с функцией перетаскивания, с которым всего парой щелчков мышью вы сможете создавать красивые слайд-шоу.",40 000+ активных установок,6.6.2
Gutentor — Gutenberg Blocks — Page Builder for Gutenberg Editor,https://ru.wordpress.org/plugins/gutentor/,"Advanced yet easy, Gutenberg editor page builder blocks. Create a masterpiece, pixel perfect website using modern WordPress Gutenberg blocks.",30 000+ активных установок,6.8.1
Timetable and Event Schedule by MotoPress,https://ru.wordpress.org/plugins/mp-timetable/,Умный организатор и тайм-менеджмент инструмент с чистым минималистичным дизайном для вывода расписаний предстоящих событий.,30 000+ активных установок,6.7.2
"ThirstyAffiliates — Affiliate Links, Link Branding, Link Tracking & Marketing Plugin",https://ru.wordpress.org/plugins/thirstyaffiliates/,"🔗 Affiliate link management & cloaker tool. Easily manage, shrink and track your affiliate links in WordPress. 🔥",30 000+ активных установок,6.8.1
